the_geom,OBJECTID,District,Shape.STArea(),Shape.STLength()
"MULTIPOLYGON (((-90.085711977713 29.951533944213, -90.085247946638 29.950615830974, -90.08510230345 29.950802878644, -90.085078310477 29.950832543687, -90.08437231627 29.949406214668, -90.083602180575 29.948947820012, -90.083123986039 29.948736669729, -90.082522280951 29.948470966934, -90.081442554585 29.947968504004, -90.081052541912 29.947787005029, -90.07961754042 29.947127035414, -90.079088602302 29.946804067191, -90.078614473642 29.94661262936, -90.078128617579 29.94648762786, -90.076886296648 29.946169447616, -90.076540158117 29.945927909172, -90.075894839385 29.945515073673, -90.072467959589 29.943339176496, -90.072638943696 29.942991922057, -90.072704699562 29.942858324647, -90.072874091807 29.942624409922, -90.073098190733 29.942325562483, -90.072105587698 29.94180279752, -90.071939980444 29.941749674588, -90.071197629958 29.941535068561, -90.070990601879 29.941469033983, -90.070750682981 29.941349774824, -90.070454016325 29.941180992157, -90.070126244425 29.940980203036, -90.069503233257 29.940580749369, -90.068869967618 29.940176024299, -90.068650524518 29.940075877866, -90.067988364351 29.939843763242, -90.06746553401 29.939665098685, -90.065854639668 29.93919933128, -90.065506929564 29.939167408229, -90.064303756181 29.939143020891, -90.064113233038 29.937943859004, -90.064105784736 29.937826829153, -90.064113681402 29.937650327065, -90.064131882417 29.937547514855, -90.064172878722 29.937380187529, -90.064198798972 29.937233834965, -90.06421291941 29.937069438535, -90.064214243867 29.936957884193, -90.064210872713 29.936421022573, -90.064199766324 29.935496748637, -90.064192049591 29.934896926097, -90.063776078118 29.93494804976, -90.05800293074 29.93561612357, -90.058146725667 29.934446756641, -90.058373699547 29.933214203013, -90.058728649346 29.931990149049, -90.05879858729 29.931754985963, -90.059301946511 29.930565753285, -90.059587030944 29.929809841602, -90.05981426049 29.929413565418, -90.060717840955 29.928022856856, -90.060951467232 29.927696216072, -90.0615142152 29.926909353049, -90.062051866191 29.926287740548, -90.062908987082 29.925325406066, -90.063441869277 29.924737291277, -90.063979964304 29.924247648406, -90.064948765913 29.923420220851, -90.065623385643 29.922866106751, -90.066549900087 29.922169545685, -90.067255891417 29.921654555717, -90.067970528022 29.92120149318, -90.068906564761 29.920608049465, -90.069349769542 29.920343358165, -90.069994832755 29.919980806473, -90.071028893685 29.919415184751, -90.072291398864 29.918840029794, -90.07338195847 29.918378194431, -90.0755622521 29.917547547956, -90.07735056927 29.916959716763, -90.080361858921 29.915944808853, -90.083520647388 29.914928703018, -90.084652219843 29.914569712319, -90.085099246487 29.91442806738, -90.091169376481 29.91256754155, -90.093501040374 29.911922059964, -90.097838887975 29.910726201915, -90.099739242066 29.910208613104, -90.100379369658 29.909983367383, -90.101024518584 29.916298554224, -90.101068911081 29.91674287541, -90.101109933498 29.917153230219, -90.101266419247 29.918718236761, -90.101333794051 29.919357006836, -90.101487344662 29.920812534742, -90.100235367362 29.920908067769, -90.100332653888 29.921902041724, -90.101588500212 29.921798745335, -90.101696997501 29.92285651072, -90.101885870636 29.924689448563, -90.101995011098 29.925748752055, -90.102065158643 29.92648852629, -90.102858023144 29.93430489136, -90.102915664563 29.934848802474, -90.102959588418 29.935263252735, -90.101701587019 29.935363818777, -90.100599564258 29.93544592414, -90.098656756268 29.935581896864, -90.097169102773 29.93587922698, -90.096618511747 29.935966232214, -90.096568211016 29.935974174433, -90.096539200995 29.935978769161, -90.096451626003 29.9359906231, -90.095971479037 29.936161283604, -90.095364777539 29.936378215181, -90.095374688405 29.936398795345, -90.09576985129 29.937217668103, -90.096089517988 29.937879215484, -90.096305936227 29.938327052967, -90.096523381822 29.938773661901, -90.097111773533 29.939982286469, -90.097501113761 29.940789190874, -90.097551137665 29.941033255003, -90.097613397858 29.941291349971, -90.098276617539 29.942931485539, -90.098331767132 29.943067825451, -90.098352436862 29.943119884789, -90.098421461692 29.94329353481, -90.099321641747 29.945558184741, -90.099324519099 29.945565526091, -90.100029714303 29.947365325938, -90.100654023628 29.948958719179, -90.10109156936 29.95004812786, -90.101237141653 29.950419254836, -90.101316091054 29.950575066071, -90.101249584965 29.950610935569, -90.10090458131 29.950793137307, -90.100708918571 29.950872538233, -90.100784085222 29.951025151989, -90.101265189134 29.952014786246, -90.101625297868 29.952755512399, -90.101709175394 29.95294211442, -90.101823277217 29.953171871279, -90.101955763548 29.95340895022, -90.102033991412 29.95355441457, -90.102100368338 29.95366223015, -90.102178749977 29.953795182824, -90.102267009322 29.953931281096, -90.102360336161 29.954094431157, -90.102412769155 29.954200989018, -90.102446966302 29.954270497918, -90.102696561757 29.954796209704, -90.102920453333 29.955250347069, -90.103234717272 29.955884737342, -90.103526452441 29.956505056108, -90.103741458729 29.956952976517, -90.104025800973 29.957538162748, -90.104265407449 29.958032730547, -90.104502206741 29.958514374424, -90.104572819838 29.9586684012, -90.10480673298 29.9591461406, -90.105013131449 29.959570794643, -90.105122867045 29.959794787386, -90.105330657368 29.960229739419, -90.105557299131 29.960695832065, -90.105799747294 29.961199415718, -90.105880642902 29.961360000124, -90.106019210038 29.961646108589, -90.1060668417 29.961745799188, -90.106157794215 29.961933508881, -90.106192385589 29.962007283232, -90.106248685163 29.962123803531, -90.106290554188 29.962209250208, -90.106329613589 29.962284386348, -90.106363154554 29.962327984099, -90.106685642316 29.962615641254, -90.10787089144 29.963672860344, -90.108483663466 29.964228204371, -90.109968521676 29.965452531341, -90.110137026712 29.965585794278, -90.110066148561 29.965653169393, -90.10985467995 29.965850357668, -90.108447180823 29.96716638646, -90.107710331875 29.967855326083, -90.107644155748 29.967917573903, -90.107590491737 29.967866392759, -90.107285044465 29.967573203764, -90.1066080716 29.966926176696, -90.106003075689 29.966385196987, -90.105477389583 29.96587270151, -90.105111764881 29.965555874262, -90.104818278512 29.965331238339, -90.104474269149 29.965070049832, -90.103583644056 29.964443204329, -90.102456526691 29.963643256002, -90.101627671849 29.963064962024, -90.101441454634 29.962935041821, -90.10081323772 29.962485889423, -90.100587172868 29.962329799982, -90.098885980505 29.961110679116, -90.09774582069 29.960298742509, -90.096612036175 29.959491309686, -90.094275599765 29.957849449731, -90.094155893516 29.957769232465, -90.09289297001 29.956847444257, -90.091697183637 29.955996292305, -90.090566401381 29.955191365191, -90.089929642995 29.954710591933, -90.089286337728 29.954231127634, -90.088610407449 29.953754981298, -90.088090128022 29.953398581812, -90.087622299929 29.953153969211, -90.087202972574 29.952945344681, -90.087094163352 29.952891211943, -90.086628887429 29.952622089983, -90.086356196429 29.952400083667, -90.086107467848 29.952143242326, -90.085909249166 29.951875136837, -90.085711977713 29.951533944213)))",23,6,152801604.92987368,64628.960437785347
"MULTIPOLYGON (((-90.071737056205 29.983317256272, -90.070364781374 29.980930804326, -90.069245594307 29.978975158443, -90.068446042378 29.977582969134, -90.067529310264 29.976030201498, -90.06735497181 29.975734935119, -90.066399945096 29.974011732709, -90.065896470396 29.973138382508, -90.065620580303 29.972744787154, -90.065456965059 29.972491366253, -90.065292734803 29.972251662233, -90.065196167733 29.972110812577, -90.065185841038 29.972095753295, -90.06507172524 29.97188430686, -90.06482386081 29.97143575889, -90.064790303163 29.971377273422, -90.064272573175 29.970474739972, -90.063860616713 29.969756895437, -90.063437575205 29.969016999423, -90.063156134382 29.968525169891, -90.062944893091 29.968156005663, -90.062723735398 29.967769448785, -90.062494707407 29.967415816301, -90.062376505796 29.967305279789, -90.062447852578 29.967231086615, -90.062616727725 29.967040493408, -90.062638517625 29.967015898951, -90.062966874153 29.966628156513, -90.063601459362 29.965920519847, -90.066230077134 29.96297748516, -90.066236196227 29.962970669181, -90.068084799354 29.960907810599, -90.068449510049 29.960496534834, -90.068454123161 29.960491381554, -90.069586287198 29.959225712011, -90.069627868567 29.95917922344, -90.069865215078 29.958913901022, -90.07051975894 29.958176145757, -90.070780190663 29.957885522755, -90.070893491069 29.957759119664, -90.071929242364 29.956603274344, -90.072755836025 29.955670587174, -90.073423072034 29.956122586777, -90.074670858745 29.956967831818, -90.077812224453 29.959095729277, -90.078646434388 29.958154774238, -90.079006767809 29.95774832238, -90.079159800333 29.957575706382, -90.079787170247 29.956868034532, -90.08019320749 29.95641248714, -90.080579875863 29.956010270646, -90.080770997453 29.955809250385, -90.080941199502 29.955629342356, -90.081275524611 29.955293284943, -90.082053263258 29.954393075886, -90.082285167098 29.954112471611, -90.082550162563 29.953791811233, -90.082685321998 29.953640691913, -90.083789005098 29.95240694215, -90.084141932629 29.951988307234, -90.084475291385 29.951578779304, -90.084847790225 29.951117428175, -90.085078310477 29.950832543687, -90.08510230345 29.950802878644, -90.085247946638 29.950615830974, -90.085711977713 29.951533944213, -90.085909249166 29.951875136837, -90.086107467848 29.952143242326, -90.086356196429 29.952400083667, -90.086628887429 29.952622089983, -90.087094163352 29.952891211943, -90.087202972574 29.952945344681, -90.087622299929 29.953153969211, -90.088090128022 29.953398581812, -90.088610407449 29.953754981298, -90.089286337728 29.954231127634, -90.089929642995 29.954710591933, -90.090566401381 29.955191365191, -90.091697183637 29.955996292305, -90.09289297001 29.956847444257, -90.094155893516 29.957769232465, -90.094275599765 29.957849449731, -90.096612036175 29.959491309686, -90.09774582069 29.960298742509, -90.098885980505 29.961110679116, -90.100587172868 29.962329799982, -90.10081323772 29.962485889423, -90.101441454634 29.962935041821, -90.101627671849 29.963064962024, -90.102456526691 29.963643256002, -90.103583644056 29.964443204329, -90.104474269149 29.965070049832, -90.104818278512 29.965331238339, -90.105111764881 29.965555874262, -90.105477389583 29.96587270151, -90.106003075689 29.966385196987, -90.1066080716 29.966926176696, -90.107285044465 29.967573203764, -90.107590491737 29.967866392759, -90.107644155748 29.967917573903, -90.10708833261 29.968462942528, -90.106883470036 29.968663954341, -90.106817676295 29.968728488896, -90.106591955965 29.968932908386, -90.106467006839 29.969025462985, -90.106329148325 29.969127605025, -90.106067917645 29.969381467292, -90.105910919855 29.969534744276, -90.105764110787 29.96968137923, -90.105688548365 29.96975682115, -90.104425213037 29.970945067367, -90.102933279867 29.972336890446, -90.101658098919 29.973522414636, -90.10058326614 29.974521649159, -90.097392960381 29.977541044247, -90.096750586466 29.978148999146, -90.095526639744 29.979307280784, -90.094129611163 29.980616848524, -90.093542413909 29.981156143894, -90.093050973888 29.98160746109, -90.09241786183 29.982192849171, -90.091780682758 29.982794805743, -90.091524543695 29.983037220158, -90.09146598309 29.983092657764, -90.091353922676 29.983197858757, -90.091194481669 29.983287598606, -90.090779084467 29.983483024846, -90.090670617343 29.983527897786, -90.090473019036 29.983609686043, -90.090120367208 29.983865073385, -90.089976656748 29.984002837806, -90.08959209183 29.983840530587, -90.08938983005 29.983700872396, -90.087689223907 29.982532794974, -90.08726521355 29.98224157419, -90.086051763941 29.981408110415, -90.085893476145 29.981299389185, -90.085618020565 29.98163818855, -90.085219330503 29.981634105428, -90.083946466192 29.98159183437, -90.082845498055 29.98155783894, -90.08184379815 29.981519938767, -90.081025684326 29.98149524522, -90.079734122929 29.981450334807, -90.079719377748 29.981449837089, -90.078676901132 29.981414301496, -90.077879059423 29.98137770879, -90.077571311679 29.981368805735, -90.077318862849 29.981363316763, -90.076925360402 29.983129396039, -90.07654931188 29.98482290311, -90.07632168837 29.98582975288, -90.076254109165 29.986141285695, -90.076177859351 29.986391272797, -90.076113930084 29.986500800184, -90.075927914033 29.98682022129, -90.075658589523 29.98728272453, -90.075247337698 29.987952155207, -90.075052739187 29.988155114317, -90.074691877324 29.988455784799, -90.074012679397 29.987274660409, -90.073165775831 29.985801830959, -90.072350363583 29.984383748472, -90.071746946209 29.983334483517, -90.071737056205 29.983317256272)))",18,1,103533277.01253897,44721.664534289746
"MULTIPOLYGON (((-90.03620517091 30.03744616729, -90.034479232605 30.0314064672, -90.033366480124 30.028000367634, -90.031749732157 30.023050964788, -90.029692440424 30.016847692705, -90.027024738824 30.008292972327, -90.026239316685 30.005755463418, -90.025882110652 30.004623486891, -90.026965283643 30.004401425055, -90.028311726958 30.00411032845, -90.029238287644 30.003908612973, -90.029787117759 30.003789144431, -90.031288479646 30.003450298005, -90.033114591527 30.003056425484, -90.034280668649 30.002785870728, -90.03480190456 30.002656703342, -90.034833587844 30.002647474057, -90.035420832915 30.002476357514, -90.035626805425 30.002425148817, -90.036135465724 30.002256802933, -90.037160070999 30.00187944907, -90.037893711493 30.00158480489, -90.038654303774 30.001209351408, -90.039357906594 30.00083784269, -90.039988977443 30.000470101779, -90.04058904766 30.000097542237, -90.041080092778 29.999750970378, -90.041665370558 29.999319714478, -90.042040649194 29.999024224889, -90.042927683916 29.998242933885, -90.043045697545 29.998112641996, -90.043510690765 29.997641478242, -90.043587824287 29.997564711281, -90.044234944035 29.996839663897, -90.044768611554 29.996221631106, -90.045279715042 29.995647568944, -90.045144470574 29.994054799982, -90.045042133224 29.992817872587, -90.045020295727 29.992458922411, -90.045011096867 29.99230774758, -90.044996438271 29.991664409339, -90.04483483146 29.989638285722, -90.044830722856 29.989584620795, -90.044680091733 29.987623915701, -90.044826090168 29.987106449481, -90.045119237067 29.986141184257, -90.045227339953 29.985786311191, -90.045242954607 29.985729318744, -90.045539841365 29.985633499518, -90.045787319149 29.985547618831, -90.045978249878 29.98551073833, -90.046154678714 29.985491151471, -90.047275094021 29.985428321101, -90.047533591026 29.985413824215, -90.048907106115 29.985331039182, -90.050626130096 29.985227436644, -90.050657143592 29.985225566337, -90.053182686512 29.98507217304, -90.057484426639 29.984813697236, -90.057739026183 29.984839346592, -90.057830908201 29.984869910299, -90.057877573338 29.984916259578, -90.057950112532 29.985053856253, -90.058123122835 29.985175432705, -90.060067967181 29.985871169101, -90.061842743815 29.986506055065, -90.067175475779 29.988383972373, -90.067663927434 29.987841451281, -90.067774284843 29.987735977724, -90.067894265463 29.987621329011, -90.067983899822 29.987535704448, -90.06837407301 29.987119669591, -90.069428837423 29.985928195627, -90.070147920211 29.985122202722, -90.071071176165 29.984087330968, -90.071746946209 29.983334483517, -90.072350363583 29.984383748472, -90.073165775831 29.985801830959, -90.074012679397 29.987274660409, -90.074691877324 29.988455784799, -90.075052739187 29.988155114317, -90.075247337698 29.987952155207, -90.075658589523 29.98728272453, -90.075927914033 29.98682022129, -90.076113930084 29.986500800184, -90.076177859351 29.986391272797, -90.076254109165 29.986141285695, -90.07632168837 29.98582975288, -90.07654931188 29.98482290311, -90.076925360402 29.983129396039, -90.077318862849 29.981363316763, -90.077571311679 29.981368805735, -90.077879059423 29.98137770879, -90.078676901132 29.981414301496, -90.079719377748 29.981449837089, -90.079734122929 29.981450334807, -90.081025684326 29.98149524522, -90.08184379815 29.981519938767, -90.082845498055 29.98155783894, -90.083946466192 29.98159183437, -90.085219330503 29.981634105428, -90.085618020565 29.98163818855, -90.085893476145 29.981299389185, -90.086051763941 29.981408110415, -90.08726521355 29.98224157419, -90.087689223907 29.982532794974, -90.08938983005 29.983700872396, -90.08959209183 29.983840530587, -90.089976656748 29.984002837806, -90.090120367208 29.983865073385, -90.090473019036 29.983609686043, -90.090670617343 29.983527897786, -90.090779084467 29.983483024846, -90.091194481669 29.983287598606, -90.091353922676 29.983197858757, -90.09146598309 29.983092657764, -90.091524543695 29.983037220158, -90.091780682758 29.982794805743, -90.09241786183 29.982192849171, -90.093050973888 29.98160746109, -90.093542413909 29.981156143894, -90.094129611163 29.980616848524, -90.095526639744 29.979307280784, -90.096750586466 29.978148999146, -90.097392960381 29.977541044247, -90.10058326614 29.974521649159, -90.101658098919 29.973522414636, -90.102933279867 29.972336890446, -90.104425213037 29.970945067367, -90.105688548365 29.96975682115, -90.105764110787 29.96968137923, -90.105910919855 29.969534744276, -90.106067917645 29.969381467292, -90.106329148325 29.969127605025, -90.106467006839 29.969025462985, -90.106591955965 29.968932908386, -90.106817676295 29.968728488896, -90.106883470036 29.968663954341, -90.10708833261 29.968462942528, -90.107644155748 29.967917573903, -90.107710331875 29.967855326083, -90.108447180823 29.96716638646, -90.108599641796 29.967286851022, -90.108714857556 29.967400122818, -90.1088117297 29.967507888952, -90.10895076439 29.9676801765, -90.109071649623 29.967830900464, -90.109198269359 29.968013741816, -90.109306477859 29.968196411797, -90.109414259117 29.968416477625, -90.109509920999 29.968620426026, -90.109580945158 29.968834815, -90.10966689978 29.969088667916, -90.109884265427 29.969196699922, -90.110193673524 29.969345599835, -90.110429219698 29.969446981001, -90.110663052972 29.969541304821, -90.110826442725 29.969605385492, -90.111089819527 29.969701440248, -90.111418329242 29.96982788314, -90.111947675847 29.970032692558, -90.112634219385 29.97029442556, -90.113279691966 29.970539384493, -90.113576189675 29.97064443225, -90.113828071328 29.970730310438, -90.114122197181 29.970825352681, -90.114493283973 29.970934361673, -90.114909165757 29.971040153834, -90.115140340244 29.971089016399, -90.115345025042 29.971129328379, -90.115597719111 29.971169588131, -90.115766568079 29.971193205097, -90.115959715337 29.971216138984, -90.116191382729 29.971235029754, -90.116421092126 29.971251261152, -90.116640122712 29.971265220897, -90.117180856358 29.971304346188, -90.118010028068 29.97134580386, -90.118519282255 29.971373687414, -90.119380379464 29.971431462662, -90.120244683674 29.971487886926, -90.121138182701 29.971566959489, -90.122121984142 29.971632996316, -90.123405405338 29.97173029893, -90.124590928769 29.971802928879, -90.125049113518 29.971804744442, -90.125602766641 29.971805096044, -90.126280288384 29.971845329089, -90.125986001798 29.972362622122, -90.125674092197 29.97291085504, -90.125422465757 29.973353107963, -90.125136311545 29.974103204295, -90.125000170902 29.975936846874, -90.124781010437 29.975966569201, -90.124855677543 29.975969510415, -90.125362781322 29.976098849074, -90.125063411558 29.979180691584, -90.12457673339 29.979231030159, -90.124544064914 29.979612122939, -90.124464572763 29.980541515948, -90.124399948431 29.981297000902, -90.124322370097 29.982203778184, -90.1241295234 29.984457725697, -90.124001544426 29.985964688376, -90.123861700302 29.987579726561, -90.12383103373 29.987946400902, -90.12377531991 29.988602003501, -90.123697346213 29.98953259161, -90.123569831724 29.991054875108, -90.123424988761 29.992783851211, -90.123344680024 29.993742412236, -90.123269576929 29.994638898615, -90.123204669086 29.995413599868, -90.123159082382 29.995957701978, -90.123101560421 29.996644390009, -90.122994938656 29.99791700037, -90.122898255424 29.99907085016, -90.122828134287 29.99990754186, -90.122822515207 29.99997491933, -90.122612373257 30.002375300502, -90.122295768954 30.005991230044, -90.122177670488 30.007340897448, -90.122060162669 30.008683228543, -90.121991083857 30.009472079312, -90.12188127345 30.010726590525, -90.121756789892 30.012148302131, -90.121693574617 30.012870271862, -90.121618106241 30.013732047889, -90.121560754786 30.0143872749, -90.121420708047 30.01598643428, -90.121349593739 30.016798859902, -90.121265973215 30.017753728429, -90.12118678636 30.018658175653, -90.121078469422 30.019897353483, -90.120947326853 30.021378812601, -90.120886431276 30.022067556498, -90.120803225551 30.023008291922, -90.12074056985 30.02371687362, -90.120648931458 30.024753147836, -90.120511665815 30.026305718448, -90.120449116808 30.027012952695, -90.120404081105 30.027522268953, -90.120280995253 30.02891393136, -90.120041001936 30.031627683836, -90.11998332071 30.032279854015, -90.119913470526 30.033069573577, -90.119803123198 30.034317227092, -90.119710183282 30.035367924094, -90.11720247913 30.035363297384, -90.114990244002 30.035359404254, -90.112611980376 30.035348297357, -90.112611886433 30.035355969777, -90.105291438719 30.0353100191, -90.097350745425 30.035248051819, -90.088657946879 30.035135104392, -90.082660096909 30.035056830439, -90.074254452918 30.035121657056, -90.03620517091 30.03744616729)))",20,3,553701344.77501833,106791.12472205935
"MULTIPOLYGON (((-90.057007382209 29.956645037951, -90.058726896252 29.954300445789, -90.058987376985 29.951869053883, -90.058973613971 29.95134435809, -90.058944234704 29.950222678051, -90.058927165686 29.949571202236, -90.058912334175 29.948949805682, -90.058903724431 29.948587959865, -90.058861932555 29.948101959637, -90.058610013858 29.945171893714, -90.058537204857 29.94447186235, -90.058360191557 29.943173795541, -90.058145116992 29.941644826574, -90.057887896406 29.939975087506, -90.057870477638 29.93876612674, -90.058015967375 29.937694346679, -90.058008896859 29.936869001, -90.057982278262 29.935784415973, -90.05800293074 29.93561612357, -90.063776078118 29.93494804976, -90.064192049591 29.934896926097, -90.064199766324 29.935496748637, -90.064210872713 29.936421022573, -90.064214243867 29.936957884193, -90.06421291941 29.937069438535, -90.064198798972 29.937233834965, -90.064172878722 29.937380187529, -90.064131882417 29.937547514855, -90.064113681402 29.937650327065, -90.064105784736 29.937826829153, -90.064113233038 29.937943859004, -90.064303756181 29.939143020891, -90.065506929564 29.939167408229, -90.065854639668 29.93919933128, -90.06746553401 29.939665098685, -90.067988364351 29.939843763242, -90.068650524518 29.940075877866, -90.068869967618 29.940176024299, -90.069503233257 29.940580749369, -90.070126244425 29.940980203036, -90.070454016325 29.941180992157, -90.070750682981 29.941349774824, -90.070990601879 29.941469033983, -90.071197629958 29.941535068561, -90.071939980444 29.941749674588, -90.072105587698 29.94180279752, -90.073098204184 29.942325569476, -90.072874091807 29.942624409922, -90.072704699562 29.942858324647, -90.072638943696 29.942991922057, -90.072467959589 29.943339176496, -90.075894839385 29.945515073673, -90.076540158117 29.945927909172, -90.076886296648 29.946169447616, -90.078128617579 29.94648762786, -90.078614473642 29.94661262936, -90.079088602302 29.946804067191, -90.07961754042 29.947127035414, -90.081052541912 29.947787005029, -90.081442554585 29.947968504004, -90.082522280951 29.948470966934, -90.083123986039 29.948736669729, -90.083602180575 29.948947820012, -90.08437231627 29.949406214668, -90.085078310477 29.950832543687, -90.084847790225 29.951117428175, -90.084475291385 29.951578779304, -90.084141932629 29.951988307234, -90.083789005098 29.95240694215, -90.082685321998 29.953640691913, -90.082550162563 29.953791811233, -90.082285167098 29.954112471611, -90.082053263258 29.954393075886, -90.081275524611 29.955293284943, -90.080941199502 29.955629342356, -90.080770997453 29.955809250385, -90.080579875863 29.956010270646, -90.08019320749 29.95641248714, -90.079787170247 29.956868034532, -90.079159800333 29.957575706382, -90.079006767809 29.95774832238, -90.078646434388 29.958154774238, -90.077812224453 29.959095729277, -90.074670858745 29.956967831818, -90.073423072034 29.956122586777, -90.072755836025 29.955670587174, -90.071929242364 29.956603274344, -90.070893491069 29.957759119664, -90.070780190663 29.957885522755, -90.07051975894 29.958176145757, -90.069865215078 29.958913901022, -90.069627868567 29.95917922344, -90.069586287198 29.959225712011, -90.068454123161 29.960491381554, -90.068449510049 29.960496534834, -90.068084799354 29.960907810599, -90.066236196227 29.962970669181, -90.066230077134 29.96297748516, -90.063601459362 29.965920519847, -90.062966874153 29.966628156513, -90.062638517625 29.967015898951, -90.062616727725 29.967040493408, -90.062447852578 29.967231086615, -90.062376505796 29.967305279789, -90.062206898788 29.967473948742, -90.062099329273 29.96757768454, -90.061947358858 29.967708051597, -90.061774923785 29.967825900952, -90.061578463863 29.967942801599, -90.061428794984 29.968009032113, -90.061250559759 29.968078865015, -90.061019508934 29.968149093822, -90.060816541374 29.968194238394, -90.060617189016 29.96822338511, -90.060402900713 29.968237318145, -90.059826229842 29.968272356359, -90.059333475241 29.968302704456, -90.059273268243 29.968313176486, -90.059203850005 29.968325209656, -90.058901749798 29.968384269256, -90.058598371858 29.968444360699, -90.058210703026 29.968521180165, -90.058091057996 29.968538665368, -90.057816531113 29.968558142825, -90.057637916427 29.968570821154, -90.056853526254 29.968624512628, -90.056691434646 29.966568474287, -90.056624420105 29.965736280365, -90.056533229917 29.964604102146, -90.056409225436 29.963104508213, -90.056362962531 29.9624402378, -90.056339957481 29.961839139518, -90.056093771339 29.961003033339, -90.056559327433 29.960854541518, -90.056312035705 29.960452649513, -90.052623263816 29.958564098426, -90.054444774458 29.958036929157, -90.054826159626 29.957816592738, -90.056609235055 29.956786485832, -90.057007382209 29.956645037951)))",25,8,57778105.69650571,38891.414689876474
